subject,subcount,error
11,2,"HTTPSConnectionPool(host='farm3.staticflickr.com', port=443): Max retries exceeded with url: /2371/2248791546_9298951118_z.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
11,3,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4129/5198874927_374ba7666c_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
12,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
12,2,"HTTPSConnectionPool(host='farm9.staticflickr.com', port=443): Max retries exceeded with url: /8317/8050819084_c791b60850_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
12,3,"HTTPSConnectionPool(host='farm1.staticflickr.com', port=443): Max retries exceeded with url: /4/9481023_b555ec38b4_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
13,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
13,2,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3520/3721051979_50769670f8_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
13,3,"HTTPSConnectionPool(host='farm2.staticflickr.com', port=443): Max retries exceeded with url: /1431/945505429_598579790b_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
14,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
14,2,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3822/12905981174_58dd4c2a7d_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
14,3,"HTTPSConnectionPool(host='farm6.staticflickr.com', port=443): Max retries exceeded with url: /5541/12434866393_e6bef5128c_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
15,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
15,2,"HTTPSConnectionPool(host='farm6.staticflickr.com', port=443): Max retries exceeded with url: /5518/11357261006_4f968af561_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
15,3,"HTTPSConnectionPool(host='farm8.staticflickr.com', port=443): Max retries exceeded with url: /7437/12536308593_71d8df9d00_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
16,1,"HTTPSConnectionPool(host='farm8.staticflickr.com', port=443): Max retries exceeded with url: /7458/11756029544_0c4ab1713c_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
16,2,"HTTPSConnectionPool(host='farm3.staticflickr.com', port=443): Max retries exceeded with url: /2915/14407773031_d37ab75d83_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
16,3,"HTTPSConnectionPool(host='farm3.staticflickr.com', port=443): Max retries exceeded with url: /2910/14354756205_1aae08107d_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
17,1,"HTTPSConnectionPool(host='farm6.staticflickr.com', port=443): Max retries exceeded with url: /5451/9670218976_ee459547ff_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
17,2,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3716/11693951823_a46551812d_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
17,3,"HTTPSConnectionPool(host='farm9.staticflickr.com', port=443): Max retries exceeded with url: /8034/8028374387_e4ac89ecef_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
18,1,"HTTPSConnectionPool(host='farm2.staticflickr.com', port=443): Max retries exceeded with url: /1194/800391570_bece0a761c_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
18,2,"HTTPSConnectionPool(host='farm6.staticflickr.com', port=443): Max retries exceeded with url: /5544/10673525716_d78969704d_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
18,3,"HTTPSConnectionPool(host='farm9.staticflickr.com', port=443): Max retries exceeded with url: /8048/8109070553_b8cd435b81_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
19,1,"HTTPSConnectionPool(host='farm2.staticflickr.com', port=443): Max retries exceeded with url: /1194/800391570_bece0a761c_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
19,2,"HTTPSConnectionPool(host='farm7.staticflickr.com', port=443): Max retries exceeded with url: /6039/6293020292_33f8ce6189_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
19,3,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4105/4832432938_2c42161a0e_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
20,1,"HTTPSConnectionPool(host='farm6.staticflickr.com', port=443): Max retries exceeded with url: /5033/14414157667_98383c7f1c_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
20,2,"HTTPSConnectionPool(host='farm3.staticflickr.com', port=443): Max retries exceeded with url: /2844/10955489986_a74d83a6e0_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
20,3,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3519/5724831323_1f2d55c609_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
21,1,"HTTPSConnectionPool(host='farm6.staticflickr.com', port=443): Max retries exceeded with url: /5033/14414157667_98383c7f1c_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
21,2,"HTTPSConnectionPool(host='farm6.staticflickr.com', port=443): Max retries exceeded with url: /5516/10785644765_5046e6e019_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
21,3,"HTTPSConnectionPool(host='farm8.staticflickr.com', port=443): Max retries exceeded with url: /7341/9410641487_3239e2ff0f_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
1,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
1,2,"HTTPConnectionPool(host='farm3.staticflickr.com', port=80): Max retries exceeded with url: /2127/5765052001_fa4c5fd8b0_b.jpg (Caused by ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
1,3,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3747/8914150145_b9b336331c_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
2,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
2,2,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3543/3387356856_1c35c2efdf_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
2,3,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3674/9280612097_0567a0de3f_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
3,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
3,2,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3858/14540292875_ffb91ba2fb_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
3,3,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4116/4747184973_2ffe91f793_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
4,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
4,2,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3875/14501588548_9ab31946e1_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
4,3,"HTTPSConnectionPool(host='farm1.staticflickr.com', port=443): Max retries exceeded with url: /89/241047479_eb0ea515f8_z.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
